space,column_index,label_id,feature_name,unit,measurement,coverage_status,source_ids,evidence_ids,observed_source_directions,source_measurements,exact_target_measurement_effect_available,numeric_generator_effect_assigned,conflict_or_context_note,coverage_limit
AAL3,47,50,Cuneus_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Occipital_GM;S02_Cuneus_thickness;S02_Cuneus_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,48,51,Lingual_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Occipital_GM;S02_Lingual_thickness;S02_Lingual_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,49,52,Lingual_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Occipital_GM;S02_Lingual_thickness;S02_Lingual_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,50,53,Occipital_Sup_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Occipital_GM;S02_Occipital_Sup_thickness;S02_Occipital_Sup_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,51,54,Occipital_Sup_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Occipital_GM;S02_Occipital_Sup_thickness;S02_Occipital_Sup_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,52,55,Occipital_Mid_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Occipital_GM;S02_Occipital_Mid_thickness;S02_Occipital_Mid_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,53,56,Occipital_Mid_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Occipital_GM;S02_Occipital_Mid_thickness;S02_Occipital_Mid_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,54,57,Occipital_Inf_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Occipital_GM;S02_Occipital_Inf_thickness;S02_Occipital_Inf_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,55,58,Occipital_Inf_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Occipital_GM;S02_Occipital_Inf_thickness;S02_Occipital_Inf_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,56,59,Fusiform_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Fusiform;S02_Fusiform_thickness;S02_Fusiform_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,57,60,Fusiform_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Fusiform;S02_Fusiform_thickness;S02_Fusiform_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,58,61,Postcentral_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Parietal_GM;S02_Postcentral_thickness;S02_Postcentral_surface_area;S03_Lfrontal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,59,62,Postcentral_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Parietal_GM;S02_Postcentral_thickness;S02_Postcentral_surface_area;S03_Rtemporal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,60,63,Parietal_Sup_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Parietal_GM;S02_Parietal_Sup_thickness;S02_Parietal_Sup_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,61,64,Parietal_Sup_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Parietal_GM;S02_Parietal_Sup_thickness;S02_Parietal_Sup_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,62,65,Parietal_Inf_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Parietal_GM;S02_Parietal_Inf_thickness;S02_Parietal_Inf_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,63,66,Parietal_Inf_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Parietal_GM;S02_Parietal_Inf_thickness;S02_Parietal_Inf_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,64,67,SupraMarginal_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Parietal_GM;S02_SupraMarginal_thickness;S02_SupraMarginal_surface_area;S03_Lfrontal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,65,68,SupraMarginal_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Parietal_GM;S02_SupraMarginal_thickness;S02_SupraMarginal_surface_area;S03_Rtemporal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,66,69,Angular_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Parietal_GM;S02_Angular_thickness;S02_Angular_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,67,70,Angular_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Parietal_GM;S02_Angular_thickness;S02_Angular_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,68,71,Precuneus_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Parietal_GM;S02_Precuneus_thickness;S02_Precuneus_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,69,72,Precuneus_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Parietal_GM;S02_Precuneus_thickness;S02_Precuneus_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,70,73,Paracentral_Lobule_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Parietal_GM;S02_Paracentral_Lobule_thickness;S02_Paracentral_Lobule_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,71,74,Paracentral_Lobule_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Parietal_GM;S02_Paracentral_Lobule_thickness;S02_Paracentral_Lobule_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,72,75,Caudate_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S01;S06;S17,S01_Caudate;S06_Caudate;S06_naive_Caudate;S17_subtype2,higher;lower;no_detected_difference,"FreeSurfer subcortical volume adjusted for age, sex and ICV;MRI regional volumes; heterogeneous segmentation; bilateral combined;regional GM/WM/CSF volume; data-derived subtype associations",False,False,"Direction/evidence depends on medication, stage, subtype and endpoint; pooled null or nominal effect retained.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,73,76,Caudate_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S01;S06;S17,S01_Caudate;S06_Caudate;S06_naive_Caudate;S17_subtype2,higher;lower;no_detected_difference,"FreeSurfer subcortical volume adjusted for age, sex and ICV;MRI regional volumes; heterogeneous segmentation; bilateral combined;regional GM/WM/CSF volume; data-derived subtype associations",False,False,"Direction/evidence depends on medication, stage, subtype and endpoint; pooled null or nominal effect retained.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,74,77,Putamen_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S01;S03;S06;S12;S17,S01_Putamen;S06_Putamen;S03_Lfrontal;S12_Putamen;S17_subtype2,higher;lower;no_detected_difference,"FreeSurfer subcortical volume adjusted for age, sex and ICV;MRI regional volumes; heterogeneous segmentation; bilateral combined;QSM/R2* and manually delineated regional volumes are separate endpoints;regional GM/WM/CSF volume; data-derived subtype associations;voxel-based GM volume; cluster peak SDM-Z",False,False,"Direction/evidence depends on medication, stage, subtype and endpoint; pooled null or nominal effect retained.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,75,78,Putamen_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S01;S03;S06;S12;S17,S01_Putamen;S06_Putamen;S03_Rtemporal;S12_Putamen;S17_subtype2,higher;lower;no_detected_difference,"FreeSurfer subcortical volume adjusted for age, sex and ICV;MRI regional volumes; heterogeneous segmentation; bilateral combined;QSM/R2* and manually delineated regional volumes are separate endpoints;regional GM/WM/CSF volume; data-derived subtype associations;voxel-based GM volume; cluster peak SDM-Z",False,False,"Direction/evidence depends on medication, stage, subtype and endpoint; pooled null or nominal effect retained.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,76,79,Pallidum_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S01;S06;S17,S01_Pallidum;S06_Pallidum;S17_subtype2,higher;nominal_higher_not_Bonferroni_significant,"FreeSurfer subcortical volume adjusted for age, sex and ICV;MRI regional volumes; heterogeneous segmentation; bilateral combined;regional GM/WM/CSF volume; data-derived subtype associations",False,False,"Direction/evidence depends on medication, stage, subtype and endpoint; pooled null or nominal effect retained.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,77,80,Pallidum_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S01;S06;S17;S18,S01_Pallidum;S06_Pallidum;S18_pallidal_treatment;S17_subtype2,higher;nominal_higher_not_Bonferroni_significant;treatment_increase_placebo_decrease,"FreeSurfer subcortical volume adjusted for age, sex and ICV;MRI regional volumes; heterogeneous segmentation; bilateral combined;VBM pallidal GM volume cluster; treatment-time interaction;regional GM/WM/CSF volume; data-derived subtype associations",False,False,"Direction/evidence depends on medication, stage, subtype and endpoint; pooled null or nominal effect retained.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,78,83,Heschl_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Heschl;S02_Heschl_thickness;S02_Heschl_surface_area;S03_Lfrontal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,79,84,Heschl_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Heschl;S02_Heschl_thickness;S02_Heschl_surface_area;S03_Rtemporal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,80,85,Temporal_Sup_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Superior_Temporal_GM;S02_Temporal_Sup_thickness;S02_Temporal_Sup_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,81,86,Temporal_Sup_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Superior_Temporal_GM;S02_Temporal_Sup_thickness;S02_Temporal_Sup_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,82,87,Temporal_Pole_Sup_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Temporal_GM;S02_Temporal_Pole_Sup_thickness;S02_Temporal_Pole_Sup_surface_area;S03_Lfrontal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,83,88,Temporal_Pole_Sup_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Temporal_GM;S02_Temporal_Pole_Sup_thickness;S02_Temporal_Pole_Sup_surface_area;S03_Rtemporal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,84,89,Temporal_Mid_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Temporal_GM;S02_Temporal_Mid_thickness;S02_Temporal_Mid_surface_area;S03_Lfrontal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,85,90,Temporal_Mid_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S03;S06,S06_Temporal_GM;S02_Temporal_Mid_thickness;S02_Temporal_Mid_surface_area;S03_Rtemporal,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined;voxel-based GM volume; cluster peak SDM-Z,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,86,91,Temporal_Pole_Mid_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Temporal_GM;S02_Temporal_Pole_Mid_thickness;S02_Temporal_Pole_Mid_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,87,92,Temporal_Pole_Mid_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Temporal_GM;S02_Temporal_Pole_Mid_thickness;S02_Temporal_Pole_Mid_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,88,93,Temporal_Inf_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Temporal_GM;S02_Temporal_Inf_thickness;S02_Temporal_Inf_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,89,94,Temporal_Inf_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S02;S06,S06_Temporal_GM;S02_Temporal_Inf_thickness;S02_Temporal_Inf_surface_area,lower,FreeSurfer Desikan-Killiany cortical thickness and surface area;MRI regional volumes; heterogeneous segmentation; bilateral combined,False,False,,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,90,95,Cerebellum_Crus1_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S04;S05;S16,S05_total;S04_LCrusII;S16_regional_null;S16_cognitive_Cerebellum_Crus1;S05_lobule_Left_Crus_I,lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM;cerebellar VBM GM volume; cluster SDM-Z",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,91,96,Cerebellum_Crus1_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S05;S16,S05_total;S16_regional_null;S16_cognitive_Cerebellum_Crus1;S05_lobule_Right_Crus_I,lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,92,97,Cerebellum_Crus2_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S03;S04;S05;S16,S03_Lcereb;S05_total;S04_LCrusII;S16_regional_null;S05_lobule_Left_Crus_II,lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM;cerebellar VBM GM volume; cluster SDM-Z;voxel-based GM volume; cluster peak SDM-Z",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,93,98,Cerebellum_Crus2_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S05;S16,S05_total;S16_regional_null;S05_lobule_Right_Crus_II,lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,94,99,Cerebellum_3_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S05;S16,S05_total;S16_regional_null;S16_cognitive_Cerebellum_3;S05_lobule_Left_I_IV,CI_includes_zero;lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,95,100,Cerebellum_3_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S05;S16,S05_total;S16_regional_null;S16_cognitive_Cerebellum_3;S05_lobule_Right_I_IV,CI_includes_zero;lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,96,101,Cerebellum_4_5_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S05;S16,S05_total;S16_regional_null;S16_cognitive_Cerebellum_4_5;S05_lobule_Left_V;S05_lobule_Left_I_IV,CI_includes_zero;lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,97,102,Cerebellum_4_5_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S05;S16,S05_total;S16_regional_null;S16_cognitive_Cerebellum_4_5;S05_lobule_Right_V;S05_lobule_Right_I_IV,CI_includes_zero;lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,98,103,Cerebellum_6_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S04;S05;S16,S05_total;S04_LCrusII;S16_regional_null;S16_cognitive_Cerebellum_6;S05_lobule_Left_VI,lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM;cerebellar VBM GM volume; cluster SDM-Z",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,99,104,Cerebellum_6_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S04;S05;S16,S05_total;S04_RVI;S16_regional_null;S16_cognitive_Cerebellum_6;S05_lobule_Right_VI,lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM;cerebellar VBM GM volume; cluster SDM-Z",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,100,105,Cerebellum_7b_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S03;S04;S05;S16,S03_Lcereb;S05_total;S04_LCrusII;S16_regional_null;S05_lobule_Left_VIIb,lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM;cerebellar VBM GM volume; cluster SDM-Z;voxel-based GM volume; cluster peak SDM-Z",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,101,106,Cerebellum_7b_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S05;S16,S05_total;S16_regional_null;S05_lobule_Right_VIIb,lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
