space,column_index,label_id,feature_name,factor_family,homolog_group,baseline_median_assumed,background_log_sd_assumed,source_evidence_ids,reference_volume_d,transfer_factor_assumed,central_standardized_effect,epistemic_sd_metadata_only,effect_provenance,rationale,all_coverage_source_ids
AAL3,74,77,Putamen_L,basal_ganglia,Putamen,0.5,0.18,S06_Putamen,0.1,0.6,0.06,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S01;S03;S06;S12;S17
AAL3,75,78,Putamen_R,basal_ganglia,Putamen,0.5,0.18,S06_Putamen,0.1,0.6,0.06,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S01;S03;S06;S12;S17
AAL3,76,79,Pallidum_L,basal_ganglia,Pallidum,0.5,0.18,S06_Pallidum,0.26,0.6,0.156,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S01;S06;S17
AAL3,77,80,Pallidum_R,basal_ganglia,Pallidum,0.5,0.18,S06_Pallidum,0.26,0.6,0.156,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S01;S06;S17;S18
AAL3,78,83,Heschl_L,temporal,Heschl,0.5,0.18,S06_Heschl,-0.29,0.6,-0.174,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,79,84,Heschl_R,temporal,Heschl,0.5,0.18,S06_Heschl,-0.29,0.6,-0.174,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,80,85,Temporal_Sup_L,temporal,Temporal_Sup,0.5,0.18,S06_Superior_Temporal_GM,-0.58,0.6,-0.348,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,81,86,Temporal_Sup_R,temporal,Temporal_Sup,0.5,0.18,S06_Superior_Temporal_GM,-0.58,0.6,-0.348,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,82,87,Temporal_Pole_Sup_L,temporal,Temporal_Pole_Sup,0.5,0.18,S06_Temporal_GM,-0.43,0.35,-0.1505,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,83,88,Temporal_Pole_Sup_R,temporal,Temporal_Pole_Sup,0.5,0.18,S06_Temporal_GM,-0.43,0.35,-0.1505,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,84,89,Temporal_Mid_L,temporal,Temporal_Mid,0.5,0.18,S06_Temporal_GM,-0.43,0.35,-0.1505,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,85,90,Temporal_Mid_R,temporal,Temporal_Mid,0.5,0.18,S06_Temporal_GM,-0.43,0.35,-0.1505,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,86,91,Temporal_Pole_Mid_L,temporal,Temporal_Pole_Mid,0.5,0.18,S06_Temporal_GM,-0.43,0.35,-0.1505,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,87,92,Temporal_Pole_Mid_R,temporal,Temporal_Pole_Mid,0.5,0.18,S06_Temporal_GM,-0.43,0.35,-0.1505,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,88,93,Temporal_Inf_L,temporal,Temporal_Inf,0.5,0.18,S06_Temporal_GM,-0.43,0.35,-0.1505,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,89,94,Temporal_Inf_R,temporal,Temporal_Inf,0.5,0.18,S06_Temporal_GM,-0.43,0.35,-0.1505,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.35 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S06
AAL3,90,95,Cerebellum_Crus1_L,cerebellum,Cerebellum_Crus1,0.5,0.18,S05_lobule_Left_Crus_I,-0.27,0.5,-0.135,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S04;S05;S16
AAL3,91,96,Cerebellum_Crus1_R,cerebellum,Cerebellum_Crus1,0.5,0.18,S05_lobule_Right_Crus_I,-0.25,0.5,-0.125,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S05;S16
AAL3,92,97,Cerebellum_Crus2_L,cerebellum,Cerebellum_Crus2,0.5,0.18,S05_lobule_Left_Crus_II,-0.24,0.5,-0.12,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S03;S04;S05;S16
AAL3,93,98,Cerebellum_Crus2_R,cerebellum,Cerebellum_Crus2,0.5,0.18,S05_lobule_Right_Crus_II,-0.24,0.5,-0.12,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S05;S16
AAL3,94,99,Cerebellum_3_L,cerebellum,Cerebellum_3,0.5,0.18,S05_lobule_Left_I_IV,-0.08,0.5,-0.04,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S05;S16
AAL3,95,100,Cerebellum_3_R,cerebellum,Cerebellum_3,0.5,0.18,S05_lobule_Right_I_IV,-0.04,0.5,-0.02,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S05;S16
AAL3,96,101,Cerebellum_4_5_L,cerebellum,Cerebellum_4_5,0.5,0.18,S05_lobule_Left_V;S05_lobule_Left_I_IV,-0.095,0.5,-0.0475,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S05;S16
AAL3,97,102,Cerebellum_4_5_R,cerebellum,Cerebellum_4_5,0.5,0.18,S05_lobule_Right_V;S05_lobule_Right_I_IV,-0.08,0.5,-0.04,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S05;S16
AAL3,98,103,Cerebellum_6_L,cerebellum,Cerebellum_6,0.5,0.18,S05_lobule_Left_VI,-0.27,0.5,-0.135,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S04;S05;S16
AAL3,99,104,Cerebellum_6_R,cerebellum,Cerebellum_6,0.5,0.18,S05_lobule_Right_VI,-0.27,0.5,-0.135,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S04;S05;S16
AAL3,100,105,Cerebellum_7b_L,cerebellum,Cerebellum_7b,0.5,0.18,S05_lobule_Left_VIIb,-0.18,0.5,-0.09,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S03;S04;S05;S16
AAL3,101,106,Cerebellum_7b_R,cerebellum,Cerebellum_7b,0.5,0.18,S05_lobule_Right_VIIb,-0.23,0.5,-0.115,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S05;S16
AAL3,102,107,Cerebellum_8_L,cerebellum,Cerebellum_8,0.5,0.18,S05_lobule_Left_VIIIb;S05_lobule_Left_VIIIa,-0.185,0.5,-0.0925,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S04;S05;S16
AAL3,103,108,Cerebellum_8_R,cerebellum,Cerebellum_8,0.5,0.18,S05_lobule_Right_VIIIa;S05_lobule_Right_VIIIb,-0.14,0.5,-0.07,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S04;S05;S16
AAL3,104,109,Cerebellum_9_L,cerebellum,Cerebellum_9,0.5,0.18,S05_lobule_Left_IX,-0.25,0.5,-0.125,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S05;S16
AAL3,105,110,Cerebellum_9_R,cerebellum,Cerebellum_9,0.5,0.18,S05_lobule_Right_IX,-0.21,0.5,-0.105,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S04;S05;S16
AAL3,106,111,Cerebellum_10_L,cerebellum,Cerebellum_10,0.5,0.18,S05_lobule_Left_X,-0.28,0.5,-0.14,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S05;S16
AAL3,107,112,Cerebellum_10_R,cerebellum,Cerebellum_10,0.5,0.18,S05_lobule_Right_X,-0.28,0.5,-0.14,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S05;S16
AAL3,108,113,Vermis_1_2,cerebellum,Vermis_1_2,0.5,0.18,S05_total;S16_regional_null,,,0.0,0.2,explicit_assumption,"No matched lobular estimate verified for this fine vermis parcel; neutral central prior with explicit uncertainty, not evidence of no association.",S05;S16
AAL3,109,114,Vermis_3,cerebellum,Vermis_3,0.5,0.18,S05_total;S16_regional_null,,,0.0,0.2,explicit_assumption,"No matched lobular estimate verified for this fine vermis parcel; neutral central prior with explicit uncertainty, not evidence of no association.",S05;S16
AAL3,110,115,Vermis_4_5,cerebellum,Vermis_4_5,0.5,0.18,S05_total;S16_regional_null,,,0.0,0.2,explicit_assumption,"No matched lobular estimate verified for this fine vermis parcel; neutral central prior with explicit uncertainty, not evidence of no association.",S05;S16
AAL3,111,116,Vermis_6,cerebellum,Vermis_6,0.5,0.18,S05_lobule_Vermis_VI,-0.21,0.5,-0.105,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S05;S16
AAL3,112,117,Vermis_7,cerebellum,Vermis_7,0.5,0.18,S05_lobule_Vermis_VIIb;S05_lobule_Vermis_Crus_II;S05_lobule_Vermis_Crus_I,-0.09333333333333334,0.5,-0.04666666666666667,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S04;S05;S16
AAL3,113,118,Vermis_8,cerebellum,Vermis_8,0.5,0.18,S05_lobule_Vermis_VIIIb;S05_lobule_Vermis_VIIIa,-0.175,0.5,-0.0875,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S05;S16
AAL3,114,119,Vermis_9,cerebellum,Vermis_9,0.5,0.18,S05_lobule_Vermis_IX,-0.27,0.5,-0.135,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S05;S16
AAL3,115,120,Vermis_10,cerebellum,Vermis_10,0.5,0.18,S05_lobule_Vermis_X,-0.16,0.5,-0.08,0.15,published_volume_d_with_transfer_assumptions,"SUIT GM-volume d transferred to AAL3 mean modulated GM through an assumed factor .5; multiple SUIT components combined by an equal-weight mean, not independent evidence weighting.",S05;S16
AAL3,116,121,Thal_AV_L,thalamus,Thal_AV,0.5,0.18,S01_Thalamus,-0.31,0.0,-0.0,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S09;S10;S22
AAL3,117,122,Thal_AV_R,thalamus,Thal_AV,0.5,0.18,S01_Thalamus,-0.31,0.0,-0.0,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S09;S10;S22
AAL3,118,123,Thal_LP_L,thalamus,Thal_LP,0.5,0.18,S01_Thalamus,-0.31,0.45,-0.1395,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S09;S10;S22
AAL3,119,124,Thal_LP_R,thalamus,Thal_LP,0.5,0.18,S01_Thalamus,-0.31,0.45,-0.1395,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S09;S10;S22
AAL3,120,125,Thal_VA_L,thalamus,Thal_VA,0.5,0.18,S01_Thalamus,-0.31,0.0,-0.0,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S09;S10;S22
AAL3,121,126,Thal_VA_R,thalamus,Thal_VA,0.5,0.18,S01_Thalamus,-0.31,0.0,-0.0,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S09;S10;S22
AAL3,122,127,Thal_VL_L,thalamus,Thal_VL,0.5,0.18,S01_Thalamus,-0.31,0.0,-0.0,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S09;S10;S22
AAL3,123,128,Thal_VL_R,thalamus,Thal_VL,0.5,0.18,S01_Thalamus,-0.31,0.0,-0.0,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S09;S10;S22
AAL3,124,129,Thal_VPL_L,thalamus,Thal_VPL,0.5,0.18,S01_Thalamus,-0.31,0.0,-0.0,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S09;S10;S22
AAL3,125,130,Thal_VPL_R,thalamus,Thal_VPL,0.5,0.18,S01_Thalamus,-0.31,0.0,-0.0,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S09;S10;S22
AAL3,126,131,Thal_IL_L,thalamus,Thal_IL,0.5,0.18,S01_Thalamus,-0.31,0.0,-0.0,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S09;S10;S22
AAL3,127,132,Thal_IL_R,thalamus,Thal_IL,0.5,0.18,S01_Thalamus,-0.31,0.0,-0.0,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S09;S10;S22
AAL3,128,133,Thal_Re_L,thalamus,Thal_Re,0.5,0.18,S01_Thalamus,-0.31,0.35,-0.1085,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S09;S10;S22
AAL3,129,134,Thal_Re_R,thalamus,Thal_Re,0.5,0.18,S01_Thalamus,-0.31,0.35,-0.1085,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S09;S10;S22
AAL3,130,135,Thal_MDm_L,thalamus,Thal_MDm,0.5,0.18,S01_Thalamus,-0.31,0.65,-0.2015,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S08;S09;S10;S22;S23
AAL3,131,136,Thal_MDm_R,thalamus,Thal_MDm,0.5,0.18,S01_Thalamus,-0.31,0.65,-0.2015,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S08;S09;S10;S22;S23
AAL3,132,137,Thal_MDl_L,thalamus,Thal_MDl,0.5,0.18,S01_Thalamus,-0.31,0.65,-0.2015,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S08;S09;S10;S22;S23
AAL3,133,138,Thal_MDl_R,thalamus,Thal_MDl,0.5,0.18,S01_Thalamus,-0.31,0.65,-0.2015,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S08;S09;S10;S22;S23
AAL3,134,139,Thal_LGN_L,thalamus,Thal_LGN,0.5,0.18,S01_Thalamus,-0.31,0.25,-0.0775,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase. Hallucination-subtype variation prevents a universal effect; weak prior retained.,S03;S08;S10;S22;S23
AAL3,135,140,Thal_LGN_R,thalamus,Thal_LGN,0.5,0.18,S01_Thalamus,-0.31,0.25,-0.0775,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase. Hallucination-subtype variation prevents a universal effect; weak prior retained.,S03;S08;S10;S22
AAL3,136,141,Thal_MGN_L,thalamus,Thal_MGN,0.5,0.18,S01_Thalamus,-0.31,0.2,-0.062,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase. Hallucination-subtype variation prevents a universal effect; weak prior retained.,S03;S08;S10;S22
AAL3,137,142,Thal_MGN_R,thalamus,Thal_MGN,0.5,0.18,S01_Thalamus,-0.31,0.2,-0.062,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase. Hallucination-subtype variation prevents a universal effect; weak prior retained.,S03;S08;S10;S22;S23
AAL3,138,143,Thal_PuI_L,thalamus,Thal_PuI,0.5,0.18,S01_Thalamus,-0.31,0.3,-0.093,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase. S23 has an internal sign contradiction and is excluded from signed calibration.,S03;S08;S09;S10;S22;S23
AAL3,139,144,Thal_PuI_R,thalamus,Thal_PuI,0.5,0.18,S01_Thalamus,-0.31,0.3,-0.093,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase. S23 has an internal sign contradiction and is excluded from signed calibration.,S03;S08;S09;S10;S22
AAL3,140,145,Thal_PuM_L,thalamus,Thal_PuM,0.5,0.18,S01_Thalamus,-0.31,0.45,-0.1395,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S08;S09;S10;S22
AAL3,141,146,Thal_PuM_R,thalamus,Thal_PuM,0.5,0.18,S01_Thalamus,-0.31,0.45,-0.1395,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S08;S09;S10;S22
AAL3,142,147,Thal_PuA_L,thalamus,Thal_PuA,0.5,0.18,S01_Thalamus,-0.31,0.45,-0.1395,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S08;S09;S10;S22;S23
AAL3,143,148,Thal_PuA_R,thalamus,Thal_PuA,0.5,0.18,S01_Thalamus,-0.31,0.45,-0.1395,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S08;S09;S10;S22;S23
AAL3,144,149,Thal_PuL_L,thalamus,Thal_PuL,0.5,0.18,S01_Thalamus,-0.31,0.4,-0.124,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S08;S09;S10;S22
AAL3,145,150,Thal_PuL_R,thalamus,Thal_PuL,0.5,0.18,S01_Thalamus,-0.31,0.4,-0.124,0.2,published_volume_d_with_transfer_assumptions,Whole-thalamus d redistributed by assumed nuclear-group transfer factor; supported group pattern is from S08/S09/S10/S22. Factor is not a measured nuclear effect. Ventral/intralaminar relative sparing is not absolute increase.,S03;S08;S09;S10;S22
AAL3,146,151,ACC_sub_L,limbic,ACC_sub,0.5,0.18,S06_ACC,-0.34,0.6,-0.20400000000000001,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,147,152,ACC_sub_R,limbic,ACC_sub,0.5,0.18,S06_ACC,-0.34,0.6,-0.20400000000000001,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,148,153,ACC_pre_L,limbic,ACC_pre,0.5,0.18,S06_ACC,-0.34,0.6,-0.20400000000000001,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,149,154,ACC_pre_R,limbic,ACC_pre,0.5,0.18,S06_ACC,-0.34,0.6,-0.20400000000000001,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,150,155,ACC_sup_L,limbic,ACC_sup,0.5,0.18,S06_ACC,-0.34,0.6,-0.20400000000000001,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,151,156,ACC_sup_R,limbic,ACC_sup,0.5,0.18,S06_ACC,-0.34,0.6,-0.20400000000000001,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S02;S03;S06
AAL3,152,157,N_Acc_L,basal_ganglia,N_Acc,0.5,0.18,S06_Accumbens,-0.29,0.6,-0.174,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S01;S06
