evidence_id,source_id,source_region,source_hemisphere,subgroup,measurement,direction,effect_statistic,effect,ci95_lower,ci95_upper,uncertainty,population,medication,stage,source_locator,interpretation
S02_Calcarine_thickness,S02,pericalcarine,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,no_detected_difference,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Calcarine_surface_area,S02,pericalcarine,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Cuneus_thickness,S02,cuneus,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Cuneus_surface_area,S02,cuneus,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Lingual_thickness,S02,lingual,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Lingual_surface_area,S02,lingual,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Occipital_Sup_thickness,S02,lateraloccipital/cuneus,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Occipital_Sup_surface_area,S02,lateraloccipital/cuneus,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Occipital_Mid_thickness,S02,lateraloccipital,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Occipital_Mid_surface_area,S02,lateraloccipital,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Occipital_Inf_thickness,S02,lateraloccipital,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Occipital_Inf_surface_area,S02,lateraloccipital,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Fusiform_thickness,S02,fusiform,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Fusiform_surface_area,S02,fusiform,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Postcentral_thickness,S02,postcentral,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Postcentral_surface_area,S02,postcentral,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Parietal_Sup_thickness,S02,superiorparietal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Parietal_Sup_surface_area,S02,superiorparietal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Parietal_Inf_thickness,S02,inferiorparietal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Parietal_Inf_surface_area,S02,inferiorparietal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_SupraMarginal_thickness,S02,supramarginal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_SupraMarginal_surface_area,S02,supramarginal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Angular_thickness,S02,inferiorparietal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Angular_surface_area,S02,inferiorparietal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Precuneus_thickness,S02,precuneus,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Precuneus_surface_area,S02,precuneus,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Paracentral_Lobule_thickness,S02,paracentral,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Paracentral_Lobule_surface_area,S02,paracentral,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Heschl_thickness,S02,transversetemporal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Heschl_surface_area,S02,transversetemporal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Temporal_Sup_thickness,S02,superiortemporal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Temporal_Sup_surface_area,S02,superiortemporal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Temporal_Pole_Sup_thickness,S02,temporalpole,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Temporal_Pole_Sup_surface_area,S02,temporalpole,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Temporal_Mid_thickness,S02,middletemporal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Temporal_Mid_surface_area,S02,middletemporal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Temporal_Pole_Mid_thickness,S02,temporalpole,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Temporal_Pole_Mid_surface_area,S02,temporalpole,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Temporal_Inf_thickness,S02,inferiortemporal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_Temporal_Inf_surface_area,S02,inferiortemporal,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_ACC_sub_thickness,S02,rostralanteriorcingulate,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_ACC_sub_surface_area,S02,rostralanteriorcingulate,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_ACC_pre_thickness,S02,rostralanteriorcingulate,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_ACC_pre_surface_area,S02,rostralanteriorcingulate,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_ACC_sup_thickness,S02,caudalanteriorcingulate,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,thickness_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical thickness; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S02_ACC_sup_surface_area,S02,caudalanteriorcingulate,bilateral,diagnostic group,FreeSurfer Desikan-Killiany cortical thickness and surface area,lower,surface_area_qualitative,,,,,4474 schizophrenia;5098 controls,mixed; none/FGA/SGA/both analyzed separately,mixed; onset/duration moderators,Main Results cortical surface_area; S4/S5,"Model A: age/sex adjusted, without global thickness or area adjustment. Qualitative main-text all-region result; no unextracted parcel d imputed."
S03_Rtemporal,S03,Rtemporal cluster,mixed;see regional mapping,diagnostic group,voxel-based GM volume; cluster peak SDM-Z,lower,cluster_peak_SDM_Z,-8.031,,,p=<.001;jackknife141/141,141 schizophrenia VBM datasets from 120 publications; bipolar and ReHo results excluded here,mixed; subgroup analysis separately,mixed,Table 2 schizophrenia portion; Appendix 1,"MNI peak=48,0,-8. Cluster membership locates evidence; same peak Z must not be assigned as each parcel effect."
S03_Lfrontal,S03,Lfrontal cluster,mixed;see regional mapping,diagnostic group,voxel-based GM volume; cluster peak SDM-Z,lower,cluster_peak_SDM_Z,-8.289,,,p=<.001;jackknife141/141,141 schizophrenia VBM datasets from 120 publications; bipolar and ReHo results excluded here,mixed; subgroup analysis separately,mixed,Table 2 schizophrenia portion; Appendix 1,"MNI peak=-50,10,4. Cluster membership locates evidence; same peak Z must not be assigned as each parcel effect."
S03_ACC,S03,ACC cluster,mixed;see regional mapping,diagnostic group,voxel-based GM volume; cluster peak SDM-Z,lower,cluster_peak_SDM_Z,-5.994,,,p=<.001;jackknife141/141,141 schizophrenia VBM datasets from 120 publications; bipolar and ReHo results excluded here,mixed; subgroup analysis separately,mixed,Table 2 schizophrenia portion; Appendix 1,"MNI peak=2,40,22. Cluster membership locates evidence; same peak Z must not be assigned as each parcel effect."
S03_Lcereb,S03,Lcereb cluster,mixed;see regional mapping,diagnostic group,voxel-based GM volume; cluster peak SDM-Z,lower,cluster_peak_SDM_Z,-3.342,,,p=.003;jackknife141/141,141 schizophrenia VBM datasets from 120 publications; bipolar and ReHo results excluded here,mixed; subgroup analysis separately,mixed,Table 2 schizophrenia portion; Appendix 1,"MNI peak=-26,-72,-42. Cluster membership locates evidence; same peak Z must not be assigned as each parcel effect."
S03_thalamus,S03,whole thalamus cluster,bilateral,diagnostic group,voxel-based GM volume; cluster peak SDM-Z,lower,cluster_peak_SDM_Z,-4.446,,,p<.001;jackknife141/141,141 schizophrenia VBM datasets from 120 publications; bipolar and ReHo results excluded here,mixed; subgroup analysis separately,mixed,Table 2 schizophrenia portion; Appendix 1,"MNI(2,-18,0); cannot localize each nucleus."
S05_total,S05,whole cerebellar GM,bilateral,diagnostic group,"SUIT native cerebellar GM volumes, functional parcels and VBM",lower,Cohen_d,-0.35,,,p=2.7e-15;I2=0%;CI not extracted,983 schizophrenia spectrum;1349 controls,mixed; medication status covariate/moderator,age 16-66; cross-sectional,Results; Supplementary Figure 2; Supplementary Table 4,Only17/28 lobules significant; whole-cerebellum d is not an estimate for every lobule.
S04_LCrusII,S04,LCrusII cerebellar cluster,bilateral,diagnostic group,cerebellar VBM GM volume; cluster SDM-Z,lower,cluster_peak_SDM_Z,-1.991,,,uncorrectedp=0.000165164;jackknife=25/25,996 schizophrenia;1109 controls,5 of 25 studies drug-naive; pooled mixture,mean duration 6.19 years; stage heterogeneous,Table 1; Results 3.2-3.4; supplementary tables,Cluster peak statistic; includes published cluster-breakdown territories; not per-lobule Cohen d.
S04_RVI,S04,RVI cerebellar cluster,bilateral,diagnostic group,cerebellar VBM GM volume; cluster SDM-Z,lower,cluster_peak_SDM_Z,-1.484,,,uncorrectedp=0.001656592;jackknife=22/25,996 schizophrenia;1109 controls,5 of 25 studies drug-naive; pooled mixture,mean duration 6.19 years; stage heterogeneous,Table 1; Results 3.2-3.4; supplementary tables,Cluster peak statistic; includes published cluster-breakdown territories; not per-lobule Cohen d.
S04_RVIII,S04,RVIII cerebellar cluster,bilateral,diagnostic group,cerebellar VBM GM volume; cluster SDM-Z,lower,cluster_peak_SDM_Z,-1.409,,,uncorrectedp=0.002353311;jackknife=22/25,996 schizophrenia;1109 controls,5 of 25 studies drug-naive; pooled mixture,mean duration 6.19 years; stage heterogeneous,Table 1; Results 3.2-3.4; supplementary tables,Cluster peak statistic; includes published cluster-breakdown territories; not per-lobule Cohen d.
S16_regional_null,S16,10 bilateral lobules and whole vermis,bilateral,diagnostic group,10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM,no_detected_difference,region_tests_qualitative,,,,"Bonferroni alpha=.0026; SSD/BP d range[-.20,.17], not a CI",249 SSD;108 psychotic bipolar;217 controls,CPZ correlates analyzed; observational,122 early/127 chronic SSD; early <=2 years,Results diagnosis/stage; Figure 1; cognitive subgroups Figure 2; Supplementary Figures 6-8,SSD and bipolar analyzed separately; no diagnosis or early/chronic effects. Exact regional d not inferred from the range.
S16_cognitive_Cerebellum_3,S16,I-IV,bilateral,cognitively compromised psychosis; not entire SSD cohort,10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM,lower,Cohen_d,-0.6,,,,249 SSD;108 psychotic bipolar;217 controls,CPZ correlates analyzed; observational,122 early/127 chronic SSD; early <=2 years,Discussion cognitive subgroups; Figure2C,Low estimated premorbid cognition subgroup. I-IV and V do not identify separate AAL3 III/IV-V effects.
S16_cognitive_Cerebellum_4_5,S16,V,bilateral,cognitively compromised psychosis; not entire SSD cohort,10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM,lower,Cohen_d,-0.5,,,,249 SSD;108 psychotic bipolar;217 controls,CPZ correlates analyzed; observational,122 early/127 chronic SSD; early <=2 years,Discussion cognitive subgroups; Figure2C,Low estimated premorbid cognition subgroup. I-IV and V do not identify separate AAL3 III/IV-V effects.
S16_cognitive_Cerebellum_6,S16,Cerebellum_6,bilateral,cognitively compromised psychosis; not entire SSD cohort,10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM,lower,Cohen_d,-0.47,,,,249 SSD;108 psychotic bipolar;217 controls,CPZ correlates analyzed; observational,122 early/127 chronic SSD; early <=2 years,Discussion cognitive subgroups; Figure2C,Low estimated premorbid cognition subgroup. I-IV and V do not identify separate AAL3 III/IV-V effects.
S16_cognitive_Cerebellum_Crus1,S16,Cerebellum_Crus1,bilateral,cognitively compromised psychosis; not entire SSD cohort,10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM,lower,Cohen_d,-0.42,,,,249 SSD;108 psychotic bipolar;217 controls,CPZ correlates analyzed; observational,122 early/127 chronic SSD; early <=2 years,Discussion cognitive subgroups; Figure2C,Low estimated premorbid cognition subgroup. I-IV and V do not identify separate AAL3 III/IV-V effects.
S16_cognitive_Cerebellum_10,S16,Cerebellum_10,bilateral,cognitively compromised psychosis; not entire SSD cohort,10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM,lower,Cohen_d,-0.56,,,,249 SSD;108 psychotic bipolar;217 controls,CPZ correlates analyzed; observational,122 early/127 chronic SSD; early <=2 years,Discussion cognitive subgroups; Figure2C,Low estimated premorbid cognition subgroup. I-IV and V do not identify separate AAL3 III/IV-V effects.
S09_anterior,S09,anterior grouped nuclei,bilateral,established schizophrenia vs controls,FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted,no_detected_difference,group_ANCOVA_then_posthoc,,,,omnibus group comparison not significant,137 controls;66 ARMS;89 FEP;126 established schizophrenia,mixed; clinical covariates separately,ARMS/FEP/established schizophrenia separated,Results; Figure 2; Supplementary Table S3,"Medial also lower in ARMS/FEP; lateral reduction limited to established schizophrenia. Six groups, not exact AAL3 subnuclei."
S09_lateral,S09,lateral grouped nuclei,bilateral,established schizophrenia vs controls,FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted,lower,group_ANCOVA_then_posthoc,,,,omnibusFDRp=.042;SCZ-HCp=.005,137 controls;66 ARMS;89 FEP;126 established schizophrenia,mixed; clinical covariates separately,ARMS/FEP/established schizophrenia separated,Results; Figure 2; Supplementary Table S3,"Medial also lower in ARMS/FEP; lateral reduction limited to established schizophrenia. Six groups, not exact AAL3 subnuclei."
S09_ventral,S09,ventral grouped nuclei,bilateral,established schizophrenia vs controls,FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted,no_detected_difference,group_ANCOVA_then_posthoc,,,,omnibus group comparison not significant,137 controls;66 ARMS;89 FEP;126 established schizophrenia,mixed; clinical covariates separately,ARMS/FEP/established schizophrenia separated,Results; Figure 2; Supplementary Table S3,"Medial also lower in ARMS/FEP; lateral reduction limited to established schizophrenia. Six groups, not exact AAL3 subnuclei."
S09_intralaminar,S09,intralaminar grouped nuclei,bilateral,established schizophrenia vs controls,FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted,no_detected_difference,group_ANCOVA_then_posthoc,,,,omnibus group comparison not significant,137 controls;66 ARMS;89 FEP;126 established schizophrenia,mixed; clinical covariates separately,ARMS/FEP/established schizophrenia separated,Results; Figure 2; Supplementary Table S3,"Medial also lower in ARMS/FEP; lateral reduction limited to established schizophrenia. Six groups, not exact AAL3 subnuclei."
