Field_ID,Description,Unit,generation_rule,missingness_assumption
1787,Maternal smoking around birth,binary code,Bernoulli(σ(−1+0.25 a−0.3 access)),Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
2946,Father's age,years,"age+TN(29,4;18,42), observed only for living parent within dictionary range",Structural: deceased parent or current age outside supplied dictionary support; Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1807,Father's age at death,years,"clip(79+5 family_longevity+8 Z,10,109), observed only if lifetime≤current parent age",Structural: parent living at baseline; Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
1845,Mother's age,years,"age+TN(27,4;18,42), observed only for living parent within dictionary range",Structural: deceased parent or current age outside supplied dictionary support; Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
3526,Mother's age at death,years,"clip(83+5 family_longevity+8 Z,18,104), observed only if lifetime≤current parent age",Structural: parent living at baseline; Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
4501,Non-accidental death in close genetic family,binary code,Bernoulli(0.9) × indicator(either modeled parent deceased); baseline family context only,Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
2188,"Long-standing illness, disability or infirmity",binary code,Bernoulli(σ(−1.7+0.7 functional_burden)); functional_burden=0.5 a+0.4 adip−0.4 activity+0.8 Z; no diagnosis,Shared questionnaire missingness Bernoulli(0.010); Per-item questionnaire missingness probability0.015+0.01 σ(−access)
30160,Basophill count,10^9 cells/L,WBC × basophil_fraction; exact stick-breaking fractions in MODEL_SPEC,Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30220,Basophill percentage,%,100 × basophil_fraction,Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30150,Eosinophill count,10^9 cells/L,WBC × eosinophil_fraction; exact stick-breaking fractions in MODEL_SPEC,Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30210,Eosinophill percentage,%,100 × eosinophil_fraction,Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30030,Haematocrit percentage,%,RBC × MCV/10,Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30020,Haemoglobin concentration,g/dL,RBC × MCH/10,Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30300,High light scatter reticulocyte count,10^12 cells/L,RBC × high_scatter_percentage/100,Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30290,High light scatter reticulocyte percentage,%,reticulocyte_percentage × immature_reticulocyte_fraction × 0.6,Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30280,Immature reticulocyte fraction,ratio,0.08+0.15 σ(turnover+0.2 Z),Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30120,Lymphocyte count,10^9 cells/L,WBC × lymphocyte_fraction; exact stick-breaking fractions in MODEL_SPEC,Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30180,Lymphocyte percentage,%,100 × lymphocyte_fraction,Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30050,Mean corpuscular haemoglobin,pg,MCV × MCHC/100,Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30060,Mean corpuscular haemoglobin concentration,g/dL,"clip(33+0.30 iron+0.55 Z,30,35)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30040,Mean corpuscular volume,fL,"clip(90+1.5 alcohol_score−0.8 iron+2.8 Z,76,104)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30100,Mean platelet (thrombocyte) volume,fL,"clip(10 exp(−0.12 ln(platelets/250)+0.055 Z),8,12)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30260,Mean reticulocyte volume,fL,"clip(MCV+12+2 turnover+2 Z,82,130)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30270,Mean sphered cell volume,fL,"clip(0.96 MCV+1.2 Z,65,115)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30130,Monocyte count,10^9 cells/L,WBC × monocyte_fraction; exact stick-breaking fractions in MODEL_SPEC,Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30190,Monocyte percentage,%,100 × monocyte_fraction,Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30140,Neutrophill count,10^9 cells/L,WBC × neutrophil_fraction; exact stick-breaking fractions in MODEL_SPEC,Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30200,Neutrophill percentage,%,100 × neutrophil_fraction,Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30170,Nucleated red blood cell count,10^9 cells/L,"Bernoulli(0.015) × clip(0.004 exp(0.45 Z),0.0005,0.03); 10^9/L, continuous despite display-decimal recommendation",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30230,Nucleated red blood cell percentage,%,100 nucleated_RBC_count/WBC; assumed denominator WBC,Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30080,Platelet count,10^9 cells/L,"clip(250 exp(−0.10 sex+0.08 inflammation+0.15 Z),110,450)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30090,Platelet crit,%,platelet_count × MPV/10000,Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30110,Platelet distribution width,%,"clip(17+0.3(MPV−10)+0.2 Z,15.1,19.5)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30010,Red blood cell (erythrocyte) count,10^12 cells/L,"clip(4.35+0.5 sex+0.12 current+0.2 Z,3.2,min(6.2,550/MCV,18800/(MCV × MCHC)))",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30070,Red blood cell (erythrocyte) distribution width,%,"clip(13.2−0.25 iron+0.4 |turnover|+0.4 Z,11.4,18)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30250,Reticulocyte count,10^12 cells/L,RBC × reticulocyte_percentage/100,Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30240,Reticulocyte percentage,%,"clip(1.2 exp(0.20 turnover+0.18 Z),0.4,3)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30000,White blood cell (leukocyte) count,10^9 cells/L,"clip(6.3 exp(0.12 current+0.18 inflammation+0.15 Z),2,15)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30620,Alanine aminotransferase,U/L,"clip(20 exp(0.25 adip+0.15 alcohol_score+0.20 hepatic+0.18 Z),5,180)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30600,Albumin,g/L,"clip(43−0.6 a−0.8 inflammation−0.7 hydration+1.2 Z,35,50)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30610,Alkaline phosphatase,U/L,"clip(75 exp(0.10 a+0.12 bone+0.08 hepatic+0.15 Z),35,170)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30630,Apolipoprotein A,g/L,"clip(0.60+0.65 HDL+0.06 Z,0.771,2.498)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30640,Apolipoprotein B,g/L,"clip(0.23+0.24 LDL+0.035 triglycerides+0.045 Z,0.412,1.966)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30650,Aspartate aminotransferase,U/L,"clip(20 exp(0.10 adip+0.12 alcohol_score+0.18 hepatic+0.10 muscle+0.16 Z),9,170)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30710,C-reactive protein,mg/L,"clip(1.2 exp(0.70 inflammation+0.30 adip+0.10 current),0.08,50)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30680,Calcium,mmol/L,"clip(2.32+0.02(albumin−43)+0.035 Z,2.02,2.65)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30690,Cholesterol,mmol/L,LDL+HDL+triglycerides/2.2; idealized assumed lipid accounting,Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30700,Creatinine,umol/L,"clip(75(1+0.22 sex) exp(0.08 muscle+0.06 Z)/(filtration/95),25,260)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30720,Cystatin C,mg/L,"clip(0.85(95/filtration)^0.8 exp(0.07 Z+0.03 adip),0.4,2.5)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30660,Direct bilirubin,umol/L,"clip(1+0.13 total_bilirubin+0.2 Z,1,0.4 total_bilirubin)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30730,Gamma glutamyltransferase,U/L,"clip(25 exp(0.20 adip+0.35 alcohol_score+0.20 hepatic+0.25 Z),6,300)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30740,Glucose,mmol/L,"clip(5.2 exp(0.10 glycemic)+0.35 Z,3.2,12)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30750,Glycated haemoglobin (HbA1c),mmol/mol,"clip(34+9(long_term_glucose−5.2)+2 Z−1.2 turnover,18,100)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30760,HDL cholesterol,mmol/L,"clip(1.5 exp(0.14(1−sex)−0.14 adip+0.09 activity+0.10 Z),0.7,2.6)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30770,IGF-1,nmol/L,"clip(22 exp(−0.11 a+0.10 diet+0.15 growth_axis+0.12 Z),8,45)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30780,LDL direct,mmol/L,"clip(2.8 exp(0.13 adip+0.16 lipid+0.08 Z),1.45,5.8)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30790,Lipoprotein A,nmol/L,"clip(30 exp(0.90 heritable_LpA+0.15 Z),3.8,189)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30800,Oestradiol,pmol/L,"male:85 exp(0.22 Z); female transitioned:80 exp(0.30 Z), otherwise480 exp(0.4 phase+0.20 Z); transition∼Bernoulli(σ((age−50)/3)); values<175 censored",Assumed lower assay reporting limit175 pmol/L from dictionary; lower concentrations unreported; Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30810,Phosphate,mmol/L,"clip(1.1−0.04 sex+0.04 bone+0.09 Z,0.65,1.6)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30820,Rheumatoid factor,IU/mL,"min(exp(ln8+0.65 Z+0.12 a+0.15 inflammation),118.6); values<10 censored",Assumed lower assay reporting limit10 IU/mL from dictionary; Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30830,SHBG,nmol/L,"clip(35 exp(0.45(1−sex)+0.14 a−0.17 adip+0.15 hormone+0.20 Z),1,200)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30850,Testosterone,nmol/L,"male:clip(14 exp(−0.13 a−0.15 adip+0.18 hormone+0.16 Z),2,38); female:clip(1.1 exp(−0.04 a+0.18 hormone+0.20 Z),0.35,3.5)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30840,Total bilirubin,umol/L,"clip(10 exp(0.35 clearance+0.12 Z),3.5,40)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30860,Total protein,g/L,"albumin+clip(25+1.1 inflammation+Z,20,32)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30870,Triglycerides,mmol/L,"clip(1.3 exp(0.23 adip+0.18 alcohol_score+0.25 lipid_storage+0.20 Z),0.4,4.2)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30880,Urate,umol/L,"clip(300+45 sex+20 adip+15 alcohol_score+0.55(100−filtration)+20 Z,140,600)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30670,Urea,mmol/L,"clip(5(95/filtration)^0.45 exp(0.15 appetite−0.08 hydration+0.12 Z),2,15)",Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
30890,Vitamin D,nmol/L,"min(45+5 summer−3(skin_code−1)+4 diet+12 season+8 Z,169); values<10 censored",Assumed lower assay reporting limit10 nmol/L from dictionary; Shared blood-sample missingness Bernoulli(0.025); Independent assay missingness Bernoulli(0.008)
