Field_ID,Category,Detail_Category,Description,Participants_N,Notes,Variable_Type,Observed_Min,Observed_P01,Observed_Median,Observed_P99,Observed_Max,Observed_Integer_Only,Observed_Allowed_Values,Unit,Unit_Source,Recommended_Data_Type,Recommended_Hard_Min,Recommended_Hard_Max,Recommended_Allowed_Values,Recommended_Missing_Rate,Observed_Decimal_Places_P95,Recommended_Decimal_Places,Suggested_Marginal_Distribution,Generation_Constraint
1080,Lifestyle,Physical activity,Time spent using computer,"497,498",,continuous,0,0,1,7,14,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",hours/day,schema Prompts,bounded_integer_or_count,0,14,,0.0201,0,0,zero-inflated bounded count,"Integer values only; sample envelope [0, 14]; central 98% [0, 7]; retain realistic tails and NaN."
1070,Lifestyle,Physical activity,Time spent watching television (TV),"501,266",,continuous,0,0,3,8,24,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 18, 20, 21, 24]",hours/day,schema Prompts,bounded_integer_or_count,0,24,,0.0111,0,0,bounded empirical integer/count,"Integer values only; sample envelope [0, 24]; central 98% [0, 8]; retain realistic tails and NaN."
924,Lifestyle,Physical activity,Usual walking pace,"499,343",,categorical,1,1,2,3,3,TRUE,"[1, 2, 3]",category code,schema variable type + observed values,categorical_integer_code,1,3,"[1, 2, 3]",0.0091,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1120,Lifestyle,Electronic device use,Weekly usage of mobile phone in last 3 months,"423,017",,categorical,0,0,1,5,5,TRUE,"[0, 1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0.1662,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [0, 1, 2, 3, 4, 5]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1130,Lifestyle,Electronic device use,Hands-free device/speakerphone use with mobile phone in last 3 month,"423,017",,categorical,0,0,0,4,4,TRUE,"[0, 1, 2, 3, 4]",category code,schema variable type + observed values,categorical_integer_code,0,4,"[0, 1, 2, 3, 4]",0.1632,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [0, 1, 2, 3, 4]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
2237,Lifestyle,Electronic device use,Plays computer games,"501,230",,categorical,0,0,0,2,2,TRUE,"[0, 1, 2]",category code,schema variable type + observed values,categorical_integer_code,0,2,"[0, 1, 2]",0.0032,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [0, 1, 2]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1160,Lifestyle,Sleep,Sleep duration,"501,262",,continuous,2,4,7,10,20,TRUE,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20]",hours/day,schema Prompts,bounded_integer_or_count,2,20,,0.0083,0,0,bounded empirical integer/count,"Integer values only; sample envelope [2, 20]; central 98% [4, 10]; retain realistic tails and NaN."
1170,Lifestyle,Sleep,Getting up in morning,"497,495",,categorical,1,1,3,4,4,TRUE,"[1, 2, 3, 4]",category code,schema variable type + observed values,categorical_integer_code,1,4,"[1, 2, 3, 4]",0.0111,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3, 4]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1180,Lifestyle,Sleep,Morning/evening person (chronotype),"497,493",,categorical,1,1,2,4,4,TRUE,"[1, 2, 3, 4]",category code,schema variable type + observed values,categorical_integer_code,1,4,"[1, 2, 3, 4]",0.1175,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3, 4]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1190,Lifestyle,Sleep,Nap during day,"501,258",,categorical,1,1,1,3,3,TRUE,"[1, 2, 3]",category code,schema variable type + observed values,categorical_integer_code,1,3,"[1, 2, 3]",0.0038,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1200,Lifestyle,Sleep,Sleeplessness / insomnia,"501,258",,categorical,1,1,2,3,3,TRUE,"[1, 2, 3]",category code,schema variable type + observed values,categorical_integer_code,1,3,"[1, 2, 3]",0.0031,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1210,Lifestyle,Sleep,Snoring,"501,258",,categorical,1,1,2,2,2,TRUE,"[1, 2]",category code,schema variable type + observed values,categorical_integer_code,1,2,"[1, 2]",0.0754,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1220,Lifestyle,Sleep,Daytime dozing / sleeping,"501,257",,categorical,0,0,0,2,3,TRUE,"[0, 1, 2, 3]",category code,schema variable type + observed values,categorical_integer_code,0,3,"[0, 1, 2, 3]",0.0074,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [0, 1, 2, 3]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
20116,Lifestyle,Smoke,Smoking status,"501,258",,categorical,0,0,0,2,2,TRUE,"[0, 1, 2]",category code,schema variable type + observed values,categorical_integer_code,0,2,"[0, 1, 2]",0.0064,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [0, 1, 2]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1239,Lifestyle,Smoke,Current tobacco smoking,"501,258",,categorical,0,0,0,2,2,TRUE,"[0, 1, 2]",category code,schema variable type + observed values,categorical_integer_code,0,2,"[0, 1, 2]",0.0027,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [0, 1, 2]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1249,Lifestyle,Smoke,Past tobacco smoking,"462,047",,categorical,1,1,3,4,4,TRUE,"[1, 2, 3, 4]",category code,schema variable type + observed values,categorical_integer_code,1,4,"[1, 2, 3, 4]",0.0815,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3, 4]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
20161,Lifestyle,Smoke,Pack years of smoking,"150,834",,continuous,0,0.5,19,88.33,222,FALSE,,pack-years,field meaning,continuous_numeric,0,222,,0.7065,3,3,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [0, 222]; central 98% [0.5, 88.33]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
1259,Lifestyle,Smoke,Smoking/smokers in household,"458,680",,categorical,0,0,0,2,2,TRUE,"[0, 1, 2]",category code,schema variable type + observed values,categorical_integer_code,0,2,"[0, 1, 2]",0.0858,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [0, 1, 2]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1269,Lifestyle,Smoke,Exposure to tobacco smoke at home,"462,447",,continuous,0,0,0,16,100,TRUE,,hours/week,schema Prompts,continuous_numeric,0,100,,0.1004,0,0,zero-inflated positive empirical/log-normal mixture,"Numeric values; sample envelope [0, 100]; central 98% [0, 16]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
1279,Lifestyle,Smoke,Exposure to tobacco smoke outside home,"462,447",,continuous,0,0,0,8,100,TRUE,,hours/week,schema Prompts,continuous_numeric,0,100,,0.1581,0,0,zero-inflated positive empirical/log-normal mixture,"Numeric values; sample envelope [0, 100]; central 98% [0, 8]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
1289,Lifestyle,Diet,Cooked vegetable intake,"501,256",,continuous,0,0,2,10,50,TRUE,,tablespoons/day,schema Prompts,continuous_numeric,0,50,,0.0174,0,0,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [0, 50]; central 98% [0, 10]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
1299,Lifestyle,Diet,Salad / raw vegetable intake,"501,256",,continuous,0,0,2,10,50,TRUE,,tablespoons/day,schema Prompts,continuous_numeric,0,50,,0.0182,0,0,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [0, 50]; central 98% [0, 10]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
1309,Lifestyle,Diet,Fresh fruit intake,"501,256",,continuous,0,0,2,7,44,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 21, 22, 23, 25, 44]",pieces/day,schema Prompts,bounded_integer_or_count,0,44,,0.006,0,0,bounded empirical integer/count,"Integer values only; sample envelope [0, 44]; central 98% [0, 7]; retain realistic tails and NaN."
1319,Lifestyle,Diet,Dried fruit intake,"501,255",,continuous,0,0,0,8,100,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 20, 22, 25, 30, 40, 100]",pieces/day,schema Prompts,bounded_integer_or_count,0,100,,0.014,0,0,zero-inflated bounded count,"Integer values only; sample envelope [0, 100]; central 98% [0, 8]; retain realistic tails and NaN."
1438,Lifestyle,Diet,Bread intake,"497,485",,continuous,0,0,10,40,96,TRUE,,slices/week,schema Prompts,continuous_numeric,0,96,,0.0232,0,0,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [0, 96]; central 98% [0, 40]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
1458,Lifestyle,Diet,Cereal intake,"501,135",,continuous,0,0,5,10,33,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 20, 21, 33]",bowls/week,schema Prompts,bounded_integer_or_count,0,33,,0.0059,0,0,bounded empirical integer/count,"Integer values only; sample envelope [0, 33]; central 98% [0, 10]; retain realistic tails and NaN."
1488,Lifestyle,Diet,Tea intake,"501,252",,continuous,0,0,3,14,42,TRUE,,cups/day,schema Prompts,continuous_numeric,0,42,,0.0044,0,0,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [0, 42]; central 98% [0, 14]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
1498,Lifestyle,Diet,Coffee intake,"501,252",,continuous,0,0,1,8,40,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 20, 25, 28, 30, 35, 40]",cups/day,schema Prompts,bounded_integer_or_count,0,40,,0.0057,0,0,zero-inflated bounded count,"Integer values only; sample envelope [0, 40]; central 98% [0, 8]; retain realistic tails and NaN."
1528,Lifestyle,Diet,Water intake,"501,252",,continuous,0,0,2,10,30,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 20, 25, 30]",glasses/day,schema Prompts,bounded_integer_or_count,0,30,,0.0101,0,0,bounded empirical integer/count,"Integer values only; sample envelope [0, 30]; central 98% [0, 10]; retain realistic tails and NaN."
1518,Lifestyle,Diet,Hot drink temperature,"501,252",,categorical,1,1,2,3,3,TRUE,"[1, 2, 3]",category code,schema variable type + observed values,categorical_integer_code,1,3,"[1, 2, 3]",0.0141,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1329,Lifestyle,Diet,Oily fish intake,"501,255",,categorical,0,0,2,4,5,TRUE,"[0, 1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0.008,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [0, 1, 2, 3, 4, 5]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1339,Lifestyle,Diet,Non-oily fish intake,"501,255",,categorical,0,0,2,3,5,TRUE,"[0, 1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0.008,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [0, 1, 2, 3, 4, 5]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1349,Lifestyle,Diet,Processed meat intake,"501,254",,categorical,0,0,2,4,5,TRUE,"[0, 1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0.0046,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [0, 1, 2, 3, 4, 5]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1359,Lifestyle,Diet,Poultry intake,"501,254",,categorical,0,0,2,4,5,TRUE,"[0, 1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0.0039,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [0, 1, 2, 3, 4, 5]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1369,Lifestyle,Diet,Beef intake,"501,254",,categorical,0,0,1,3,5,TRUE,"[0, 1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0.0061,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [0, 1, 2, 3, 4, 5]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1379,Lifestyle,Diet,Lamb/mutton intake,"501,254",,categorical,0,0,1,3,5,TRUE,"[0, 1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0.0086,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [0, 1, 2, 3, 4, 5]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1389,Lifestyle,Diet,Pork intake,"501,252",,categorical,0,0,1,3,5,TRUE,"[0, 1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0.0094,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [0, 1, 2, 3, 4, 5]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1408,Lifestyle,Diet,Cheese intake,"489,289",,categorical,0,0,3,5,5,TRUE,"[0, 1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0.0287,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [0, 1, 2, 3, 4, 5]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1478,Lifestyle,Diet,Salt added to food,"501,252",,categorical,1,1,1,4,4,TRUE,"[1, 2, 3, 4]",category code,schema variable type + observed values,categorical_integer_code,1,4,"[1, 2, 3, 4]",0.0024,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3, 4]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
6144,Lifestyle,Diet,"Never eat eggs, dairy, wheat, sugar","497,485",,categorical,1,1,5,5,5,TRUE,"[1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,1,5,"[1, 2, 3, 4, 5]",0.0128,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3, 4, 5]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
20117,Lifestyle,Alcohol,Alcohol drinker status,"501,252",,categorical,0,0,2,2,2,TRUE,"[0, 1, 2]",category code,schema variable type + observed values,categorical_integer_code,0,2,"[0, 1, 2]",0.0033,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [0, 1, 2]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1558,Lifestyle,Alcohol,Alcohol intake frequency.,"501,252",,categorical,1,1,3,6,6,TRUE,"[1, 2, 3, 4, 5, 6]",category code,schema variable type + observed values,categorical_integer_code,1,6,"[1, 2, 3, 4, 5, 6]",0.0029,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3, 4, 5, 6]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1568,Lifestyle,Alcohol,Average weekly red wine intake,"346,269",,continuous,0,0,2,28,80,TRUE,,glasses/week,schema Prompts,continuous_numeric,0,80,,0.311,0,0,zero-inflated positive empirical/log-normal mixture,"Numeric values; sample envelope [0, 80]; central 98% [0, 28]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
1578,Lifestyle,Alcohol,Average weekly champagne plus white wine intake,"346,268",,continuous,0,0,1,21,80,TRUE,,glasses/week,schema Prompts,continuous_numeric,0,80,,0.3121,0,0,zero-inflated positive empirical/log-normal mixture,"Numeric values; sample envelope [0, 80]; central 98% [0, 21]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
1588,Lifestyle,Alcohol,Average weekly beer plus cider intake,"346,268",Do not sum these quantities because their units differ,continuous,0,0,1,28,70,TRUE,,pints/week,schema Prompts,continuous_numeric,0,70,,0.3093,0,0,zero-inflated positive empirical/log-normal mixture,"Numeric values; sample envelope [0, 70]; central 98% [0, 28]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
1598,Lifestyle,Alcohol,Average weekly spirits intake,"346,268",,continuous,0,0,0,25,100,TRUE,,measures/week,schema Prompts,continuous_numeric,0,100,,0.3113,0,0,zero-inflated positive empirical/log-normal mixture,"Numeric values; sample envelope [0, 100]; central 98% [0, 25]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
1608,Lifestyle,Alcohol,Average weekly fortified wine intake,"346,268",,continuous,0,0,0,5,42,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 18, 21, 24, 42]",glasses/week,schema Prompts,bounded_integer_or_count,0,42,,0.3097,0,0,zero-inflated bounded count,"Integer values only; sample envelope [0, 42]; central 98% [0, 5]; retain realistic tails and NaN."
1618,Lifestyle,Alcohol,Alcohol usually taken with meals,"387,069",,categorical,0,0,1,1,1,TRUE,"[0, 1]",category code,schema variable type + observed values,categorical_integer_code,0,1,"[0, 1]",0.4922,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [0, 1]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1050,Lifestyle,Sun exposure,Time spend outdoors in summer,"497,500",,continuous,0,0,3,10,20,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20]",hours/day,schema Prompts,bounded_integer_or_count,0,20,,0.0698,0,0,bounded empirical integer/count,"Integer values only; sample envelope [0, 20]; central 98% [0, 10]; retain realistic tails and NaN."
1060,Lifestyle,Sun exposure,Time spent outdoors in winter,"497,500",,continuous,0,0,1,9,24,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 20, 24]",hours/day,schema Prompts,bounded_integer_or_count,0,24,,0.071,0,0,zero-inflated bounded count,"Integer values only; sample envelope [0, 24]; central 98% [0, 9]; retain realistic tails and NaN."
1717,Lifestyle,Sun exposure,Skin colour,"501,250",,categorical,1,1,2,5,6,TRUE,"[1, 2, 3, 4, 5, 6]",category code,schema variable type + observed values,categorical_integer_code,1,6,"[1, 2, 3, 4, 5, 6]",0.0168,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3, 4, 5, 6]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1727,Lifestyle,Sun exposure,Ease of skin tanning,"497,483",,categorical,1,1,2,4,4,TRUE,"[1, 2, 3, 4]",category code,schema variable type + observed values,categorical_integer_code,1,4,"[1, 2, 3, 4]",0.0386,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3, 4]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1737,Lifestyle,Sun exposure,Childhood sunburn occasions,"497,483",,continuous,0,0,0,15,200,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 18, 20, 24, 25, 30, 35, 40, 50, 100, 200]",occasions,field meaning,bounded_integer_or_count,0,200,,0.2544,0,0,zero-inflated bounded count,"Integer values only; sample envelope [0, 200]; central 98% [0, 15]; retain realistic tails and NaN."
1747,Lifestyle,Sun exposure,"Hair colour (natural, before greying)","501,250",,categorical,1,1,3,6,6,TRUE,"[1, 2, 3, 4, 5, 6]",category code,schema variable type + observed values,categorical_integer_code,1,6,"[1, 2, 3, 4, 5, 6]",0.0049,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3, 4, 5, 6]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1757,Lifestyle,Sun exposure,Facial ageing,"497,482",,categorical,1,1,1,3,3,TRUE,"[1, 2, 3]",category code,schema variable type + observed values,categorical_integer_code,1,3,"[1, 2, 3]",0.0894,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
2267,Lifestyle,Sun exposure,Use of sun/uv protection,"497,463",,categorical,1,1,3,4,5,TRUE,"[1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,1,5,"[1, 2, 3, 4, 5]",0.0119,0,0,empirical categorical over allowed codes,"Use only observed numeric codes [1, 2, 3, 4, 5]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
2277,Lifestyle,Sun exposure,Frequency of solarium/sunlamp use,"497,463",,continuous,0,0,0,12,300,TRUE,,occasions,field meaning,bounded_integer_or_count,0,300,,0.022,0,0,zero-inflated bounded count,"Integer values only; sample envelope [0, 300]; central 98% [0, 12]; retain realistic tails and NaN."
2139,Lifestyle,Sexual factors,Age first had sexual intercourse,"456,931",,continuous,3,13,18,32,62,TRUE,,years,field meaning,continuous_numeric,3,62,,0.1372,0,0,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [3, 62]; central 98% [13, 32]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
2149,Lifestyle,Sexual factors,Lifetime number of sexual partners,"452,766",,continuous,1,1,3,50,1500,TRUE,,partners,field meaning,continuous_numeric,1,1500,,0.1974,0,0,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [1, 1500]; central 98% [1, 50]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
2159,Lifestyle,Sexual factors,Ever had same-sex intercourse,"452,766",,binary,0,0,0,1,1,TRUE,"[0, 1]",binary code,schema variable type + observed values,binary_integer_code,0,1,"[0, 1]",0.1117,0,0,empirical Bernoulli,"Use only observed numeric codes [0, 1]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1677,Environment,Early life factors,Breastfed as a baby,"501,251",,binary,0,0,1,1,1,TRUE,"[0, 1]",binary code,schema variable type + observed values,binary_integer_code,0,1,"[0, 1]",0.2291,0,0,empirical Bernoulli,"Use only observed numeric codes [0, 1]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1777,Environment,Early life factors,Part of a multiple birth,"493,896",,binary,0,0,0,1,1,TRUE,"[0, 1]",binary code,schema variable type + observed values,binary_integer_code,0,1,"[0, 1]",0.0187,0,0,empirical Bernoulli,"Use only observed numeric codes [0, 1]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
1787,Environment,Early life factors,Maternal smoking around birth,"493,896",,binary,0,0,0,1,1,TRUE,"[0, 1]",binary code,schema variable type + observed values,binary_integer_code,0,1,"[0, 1]",0.1434,0,0,empirical Bernoulli,"Use only observed numeric codes [0, 1]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
2946,Environment,Family history,Father's age,"114,515",,continuous,60,62,78,94,98,TRUE,,years,schema Prompts,continuous_numeric,60,98,,0.7758,0,0,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [60, 98]; central 98% [62, 94]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
1807,Environment,Family history,Father's age at death,"377,843",,continuous,10,33,72,94,109,TRUE,,years,schema Prompts,continuous_numeric,10,109,,0.274,0,0,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [10, 109]; central 98% [33, 94]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
1845,Environment,Family history,Mother's age,"199,137",,continuous,60,61,79,96,105,TRUE,,years,schema Prompts,continuous_numeric,60,105,,0.6036,0,0,bounded approximately normal / empirical quantile,"Numeric values; sample envelope [60, 105]; central 98% [61, 96]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
3526,Environment,Family history,Mother's age at death,"298,281",,continuous,18,34,76,96,104,TRUE,,years,schema Prompts,continuous_numeric,18,104,,0.4225,0,0,bounded empirical quantile / transformed distribution,"Numeric values; sample envelope [18, 104]; central 98% [34, 96]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
4501,Environment,Family history,Non-accidental death in close genetic family,"169,517",,binary,0,0,0,1,1,TRUE,"[0, 1]",binary code,schema variable type + observed values,binary_integer_code,0,1,"[0, 1]",0.679,0,0,empirical Bernoulli,"Use only observed numeric codes [0, 1]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
2188,Environment,General health,"Long-standing illness, disability or infirmity","501,231",,binary,0,0,0,1,1,TRUE,"[0, 1]",binary code,schema variable type + observed values,binary_integer_code,0,1,"[0, 1]",0.0265,0,0,empirical Bernoulli,"Use only observed numeric codes [0, 1]; keep integer storage; do not re-base or relabel codes; represent nonresponse/not-applicable as NaN."
30160,Blood count,Blood count,Basophill count,,,,0,0,0.02,0.2,1.5,FALSE,,10^9 cells/L,schema Prompts,continuous_numeric,0,1.5,,0.0489,2,2,zero-inflated positive empirical/log-normal mixture,"Numeric values; sample envelope [0, 1.5]; central 98% [0, 0.2]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
30220,Blood count,Blood count,Basophill percentage,,,,0,0.08,0.42,2.4,13.49,FALSE,,%,schema Prompts,continuous_numeric,0,13.49,,0.0489,2,2,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [0, 13.49]; central 98% [0.08, 2.4]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
30150,Blood count,Blood count,Eosinophill count,,,,0,0,0.14,0.66,2.4,FALSE,,10^9 cells/L,schema Prompts,continuous_numeric,0,2.4,,0.0489,2,2,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [0, 2.4]; central 98% [0, 0.66]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
30210,Blood count,Blood count,Eosinophill percentage,,,,0,0.3,2.14,9.098,35.1,FALSE,,%,schema Prompts,continuous_numeric,0,35.1,,0.0489,2,2,bounded right-skewed empirical/log-normal/gamma,"Numeric values; sample envelope [0, 35.1]; central 98% [0.3, 9.098]; use a bounded/long-tail marginal as indicated; do not extrapolate beyond the sample envelope without a formal codebook."
